Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
2016,Level 1,99999,All industries,Dollars (millions),H01,Total income,Financial performance,606338,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,532098,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,55674,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H07,Non-operating income,Financial performance,18565,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H08,Total expenditure,Financial performance,536515,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H09,Interest and donations,Financial performance,35968,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H10,Indirect taxes,Financial performance,6638,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H11,Depreciation,Financial performance,18169,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H12,Salaries and wages paid,Financial performance,93912,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H13,Redundancy and severance,Financial performance,322,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H14,Salaries and wages to self employed commission agents,Financial performance,1804,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,365642,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H20,Non-operating expenses,Financial performance,14382,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H21,Opening stocks,Financial performance,54252,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H22,Closing stocks,Financial performance,55260,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H23,Surplus before income tax,Financial performance,70830,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H24,Total assets,Financial position,1946267,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H25,Current assets,Financial position,552126,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H26,Fixed tangible assets,Financial position,442837,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H29,Other assets,Financial position,951303,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H30,Total equity and liabilities,Financial position,1946268,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,616689,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H32,Current liabilities,Financial position,749855,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars (millions),H33,Other liabilities,Financial position,579723,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars,H34,Total income per employee count,Financial ratios,353200,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Dollars,H35,Surplus per employee count,Financial ratios,41300,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Percentage,H36,Current ratio,Financial ratios,74,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Percentage,H37,Quick ratio,Financial ratios,66,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Percentage,H39,Return on equity,Financial ratios,11,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2016,Level 1,99999,All industries,Percentage,H40,Return on total assets,Financial ratios,4,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
