Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
2013,Level 1,99999,All industries,Dollars (millions),H01,Total income,Financial performance,541042,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2013,Level 1,99999,All industries,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,473662,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2013,Level 1,99999,All industries,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,53770,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2013,Level 1,99999,All industries,Dollars (millions),H07,Non-operating income,Financial performance,13610,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2013,Level 1,99999,All industries,Dollars (millions),H08,Total expenditure,Financial performance,488612,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2013,Level 1,99999,All industries,Dollars (millions),H09,Interest and donations,Financial performance,36036,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2013,Level 1,99999,All industries,Dollars (millions),H10,Indirect taxes,Financial performance,5934,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2013,Level 1,99999,All industries,Dollars (millions),H11,Depreciation,Financial performance,15873,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2013,Level 1,99999,All industries,Dollars (millions),H12,Salaries and wages paid,Financial performance,79533,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2013,Level 1,99999,All industries,Dollars (millions),H13,Redundancy and severance,Financial performance,263,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2013,Level 1,99999,All industries,Dollars (millions),H14,Salaries and wages to self employed commission agents,Financial performance,1378,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2013,Level 1,99999,All industries,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,334094,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
